FlexSite	UnitCode	Description	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
AU22	4527	BARTONELLA HENSELAE IgM	0	0	0	1	0	0	0	0	0	0	0	1
AU22	4543	CYTOMEGALOVIRUS IgG/IgM PANEL	0	0	0	0	0	1	1	0	0	0	0	1
AU22	4544	CYTOMEGALOVIRUS IgG	0	0	0	0	1	0	0	0	0	0	0	0
AU22	4546	CYTOMEGALOVIRUS IgM	0	0	0	0	1	0	0	0	0	0	0	0
AU22	4550	EPSTEIN BARR PANEL (VCA IgG/IgM, EARLY, EBNA IgG)	1	1	0	3	0	4	2	3	1	0	3	2
AU22	4565	H. PYLORI IgG, QUAL	0	1	0	2	2	1	1	0	1	2	0	0
AU22	4571	HCV RNA, PCR QUANT	0	2	0	0	0	0	0	0	0	0	2	0
AU22	4592	HERPES SIMPLEX 1/2 IgG	0	0	1	0	0	0	0	0	1	0	0	0
AU22	4600	RUBELLA ANTIBODY SCREEN	0	1	0	0	1	0	0	0	0	0	0	0
AU22	4609	H. PYLORI IgG, IgM, IgA QUANT	0	0	0	0	0	0	0	1	0	2	0	0
AU22	4610	THYROID ANTIBODY GROUP (TPO + TG)	1	0	2	1	0	0	1	4	0	0	0	0
AU22	4614	LEGIONELLA URINARY ANTIGEN	0	0	0	0	0	0	0	0	0	0	0	1
AU22	4632	DNA SINGLE STRANDED AB	0	0	0	0	0	1	0	0	0	0	0	0
AU22	4634	MITOCHONDRIAL M2 AB	0	0	0	1	1	1	0	0	0	0	0	0
AU22	4638	BLASTOMYCES DERMATIDITIS AB BY ID	0	0	0	0	0	0	0	1	0	0	0	0
AU22	4642	EPSTEIN-BARR VCA IgG/IgM	0	0	1	1	1	1	0	0	0	0	0	0
AU22	4647	HERPES SIMPLEX VIRUS IGG AND IGM	0	0	0	2	0	0	0	1	1	0	0	0
AU22	4657	TOXOPLASMA IgG AND IgM	0	0	0	1	0	0	0	0	0	0	0	0
AU22	4665	VARICELLA ZOSTER IgG	0	1	0	0	1	0	0	0	0	0	0	0
AU22	4672	H. PYLORI IgG ANTIBODY	1	1	0	0	0	0	0	0	0	0	0	0
AU22	4673	GIARDIA SPECIFIC AG	0	0	0	0	0	1	0	0	0	0	0	0
AU22	4675	HEPATITIS C ANTIBODY	1	0	1	1	1	1	2	1	1	0	4	2
AU22	4677	HEPATITIS C REFLEX PCR	0	0	1	0	0	0	0	0	0	0	0	0
AU22	4682	LKM ANTIBODY	0	0	0	0	1	0	0	0	0	0	0	0
AU22	4697	BARTONELLA SPECIES BY PCR	0	0	0	0	0	0	0	1	0	0	0	0
AU22	4718	GLIADIN AB, DEAMID. IgG	0	0	0	1	0	0	0	0	0	0	0	0
AU22	4721	ENDOMYSIAL IgA	0	0	0	1	0	0	0	0	0	0	0	0
AU22	4725	TTG IgA	0	0	0	0	0	0	0	1	0	1	0	0
AU22	4737	VALPROIC ACID, FREE AND TOTAL	0	0	0	1	0	0	0	0	0	0	0	0
AU22	4744	LACOSAMIDE, SERUM/PLASMA	0	0	0	0	0	0	1	0	0	0	0	0
AU22	4790	HTLV I/II WITH REFLEX TO WESTERN BLOT	0	0	0	0	0	0	0	1	0	0	0	0
AU22	4803	GLYCATED HEMOGLOBIN	0	0	0	1	0	0	0	0	0	0	0	0
AU22	4809	CARDIOLIPIN ANTIBODIES	0	1	0	0	0	0	0	0	0	0	0	0
AU22	4814	ACTH	0	0	1	0	1	0	0	0	0	0	0	0
AU22	4816	ALPHA-1-ANTITRYPSIN	0	0	0	1	0	1	0	0	0	0	0	0
AU22	4824	CANCER ANTIGEN 125	0	0	0	0	1	0	0	0	0	0	0	1
AU22	4825	CANCER ANTIGEN 27.29	0	0	0	0	1	0	0	0	0	0	0	0
AU22	4826	CALCITONIN	0	0	0	0	0	0	0	0	0	0	1	0
AU22	4832	C-PEPTIDE	0	0	0	0	0	1	1	0	0	0	0	0
AU22	4833	CELIAC DISEASE PANEL	0	0	2	0	0	0	0	0	0	0	0	0
AU22	4845	FACTOR V LEIDEN	0	1	0	0	0	0	0	0	0	0	0	0
AU22	4856	HAPTOGLOBIN, QUANT	0	0	0	0	1	0	0	0	0	0	0	0
AU22	4873	CD4/CD8 LYMPHOCYTE ENUMERATION	0	0	1	0	0	0	0	0	0	0	0	0
AU22	4874	IMMUNOGLOBULIN E (IgE)	0	0	0	2	3	1	0	2	0	0	0	0
AU22	4884	ANA AUTOIMMUNE PANEL REFLEX TO FARR	0	0	1	0	0	0	0	0	0	0	0	1
AU22	4886	CD57 FOR LYME DISEASE	0	0	0	1	0	0	0	0	0	0	0	0
AU22	4895	MICROALBUMIN/CREATININE, RANDOM AND RATIO	0	3	4	14	7	4	3	2	3	1	0	0
AU22	4909	PREALBUMIN	1	2	3	3	3	3	3	5	4	0	1	1
AU22	4911	PREGNENOLONE	0	0	0	1	0	0	0	0	0	0	0	0
AU22	4915	PSA, FREE AND TOTAL	1	0	0	0	0	1	0	0	0	1	0	0
AU22	4920	IGF-1	0	0	1	0	0	2	0	0	0	0	0	0
AU22	4936	TRANSFERRIN	0	0	0	0	0	0	1	0	0	0	1	0
AU22	4937	TESTOSTERONE, FREE/TOTAL WITH SHBG	3	2	5	4	6	6	3	3	2	1	2	1
AU22	4948	VASOPRESSIN (ARGININE)	0	0	1	0	0	0	0	0	0	0	0	0
AU22	4958	VITAMIN D, 25 OH	9	10	12	26	10	13	8	7	3	5	11	8
AU22	4960	VITAMIN D,1,25-DIHYDROXY	0	0	2	1	0	0	0	0	0	0	0	0
AU22	4966	ANGIO CONVERTING ENZYME	0	0	0	2	0	0	0	0	0	0	0	0
AU22	4973	TOTAL BILE ACIDS	0	0	0	0	1	0	0	0	2	3	0	0
AU22	4994	DHR ASSAY	0	0	0	0	0	0	1	0	0	0	0	0
AU22	4997	LYMPHOCYTE SUBSET PANEL 7	0	0	0	0	0	0	0	0	0	0	0	1
AU22	5014	RIBOFLAVIN (VITAMIN B2)	0	0	0	0	0	0	0	1	0	0	0	0
AU22	5020	VITAMIN C (ASCORBIC)	0	0	0	0	0	0	0	1	0	0	0	0
AU22	5040	INSULIN, FREE AND TOTAL	0	0	0	0	0	0	1	0	0	0	0	0
AU22	5042	BETA-HYDROXYBUTYRIC ACID	0	0	0	0	0	0	0	0	0	1	0	0
AU22	5083	HIGH SENSITIVITY CRP	5	7	5	5	4	7	5	2	0	3	4	1
AU22	5240	CHROMOSOME ANALYSIS, PERIPHERAL BLOOD	0	0	0	0	0	0	1	0	0	0	0	0
AU22	5249	CT/NG, TMA, SIMPLESWAB	0	0	0	0	0	0	0	0	1	0	0	0
AU22	5259	OXCARBAZEPINE METABOLITE	0	0	1	1	0	0	0	0	0	0	0	1
AU22	5283	SIROLIMUS	0	0	0	1	0	0	0	0	0	0	1	0
AU22	5320	LYMPH AG/MITOGEN	0	0	0	0	0	0	0	0	0	0	0	1
AU22	5321	BETA-2 GLYCOPROTEIN 1 IgG/IgM	0	1	0	0	0	0	0	0	0	0	0	0
AU22	5362	MTHFR	0	0	0	1	0	0	0	1	0	0	0	0
AU22	5390	CCP IgG	0	1	1	0	0	0	0	0	0	0	0	0
AU22	5396	GONORRHEA, TMA, SIMPLESWAB	0	0	0	0	0	1	0	0	0	0	0	0
AU22	5397	GONORRHEA, TMA, URINE	0	2	1	1	0	0	1	1	3	1	0	0
AU22	5398	CHLAMYDIA, TMA, SIMPLESWAB	0	0	0	0	0	1	0	0	0	0	0	0
AU22	5399	CHLAMYDIA, TMA, URINE	0	2	1	1	0	0	1	1	3	1	0	0
AU22	5442	SMOOTH MUSCLE AB (F-ACTIN), REFLEX IFA TITER	0	0	0	1	1	0	0	0	0	0	0	0
AU22	5477	REGION X (TX,OK) IgE PANEL	0	0	0	1	1	0	0	0	0	0	0	0
AU22	5519	CENTRAL TEXAS IgE PANEL	0	0	1	1	0	0	0	0	0	0	0	0
AU22	5548	FOOD ALLERGY IgE PANEL	0	0	0	1	1	0	0	0	0	0	0	0
AU22	5549	COMPREHENSIVE FOOD IgE PANEL	0	0	1	1	1	0	0	0	0	0	0	0
AU22	5571	LEVETIRACETAM	0	0	0	0	0	0	0	1	1	2	0	0
AU22	5582	COCCIDIOIDES IgG/IgM	0	0	0	0	0	0	0	1	0	0	0	0
AU22	5585	B NATRIURETIC PEPTIDE	5	3	4	5	3	2	0	3	2	0	1	2
AU22	5591	H. PYLORI (BREATH)	1	1	0	1	0	0	0	0	0	0	0	0
AU22	5597	CMV PCR, QUANT, WB/CSF	0	1	1	1	0	0	0	0	0	0	0	0
AU22	5661	BK VIRUS PCR QUANT, BLOOD	0	2	2	1	0	0	0	0	0	0	1	0
AU22	5681	BILE ACIDS, FRACTIONATED AND TOTAL	0	0	0	0	0	1	1	0	0	0	1	0
AU22	5710	FATTY ACID PROFILE, ESSENTIAL	0	0	0	0	0	1	0	0	0	0	0	0
AU22	5722	NT-proBNP	0	0	0	0	1	0	0	0	0	1	0	1
AU22	5786	ANTI-MULLERIAN HORMONE	1	2	2	1	1	1	2	0	2	2	2	3
AU22	5799	ISLET CELL ANTIBODY, IA-2	0	0	0	0	0	0	0	1	0	0	0	0
AU22	5826	CYCLOSPORIN A	0	0	0	0	1	0	0	1	0	1	0	0
AU22	5855	ALPHA GALACTOSIDASE, LEUK	0	0	0	0	0	0	1	0	0	0	0	0
AU22	5931	LAMOTRIGINE	0	0	0	0	1	0	1	0	1	0	0	0
AU22	5949	*** INACTIVE ***	3	2	1	0	0	0	0	0	0	0	0	0
AU22	5955	TOPIRAMATE	0	0	0	0	0	0	1	0	0	0	0	0
AU22	5989	DRUG SCREEN, SERUM, NO CONFIRMATION	0	1	0	0	0	0	0	0	0	0	0	0
AU22	6007	CULTURE, ROUTINE	0	1	0	0	0	0	0	1	0	0	0	0
AU22	6013	CULTURE, BLOOD	1	1	2	2	2	2	1	1	1	1	1	1
AU22	6041	UA, MICROSCOPIC, REFLEX TO CULTURE	0	3	7	12	6	12	9	7	3	2	1	0
AU22	6042	CULTURE, STOOL	0	0	0	0	0	1	0	0	0	0	0	0
AU22	6046	CULTURE, THROAT	1	0	0	1	0	0	0	0	0	0	0	0
AU22	6047	CULTURE, STREP A SCREEN, THROAT	0	1	0	0	0	0	0	0	0	0	0	1
AU22	6049	CULTURE, URINE	4	4	11	9	9	5	7	7	12	9	6	5
AU22	6051	URINALYSIS (CULTURE IF INDICATED)	3	2	4	6	10	7	6	7	5	9	5	7
AU22	6061	GROUP A STREP RAPID, REFLEX CULTURE	1	3	0	0	0	0	0	0	0	0	0	0
AU22	6078	STREP SCREEN, NO PRELIM	0	0	0	0	0	0	1	0	0	0	0	0
AU22	6089	CULTURE, URINE/SENSITIVITY ON ALL	1	1	1	1	3	2	0	1	0	1	3	5
AU22	6105	WET PREP	0	0	0	0	0	1	0	0	1	0	0	0
AU22	6106	GRAM STAIN	0	1	0	0	0	0	0	0	0	0	0	0
AU22	6134	CULTURE, URINE, PEN ALLERGIC	0	0	0	1	0	0	0	0	0	0	0	0
AU22	6501	REGIONAL GROUP A STREP RAPID, RFLX	4	5	0	0	0	0	0	0	0	0	1	0
AU22	7000	OVA AND PARASITES WITH TRICHROME STAIN	0	0	0	0	0	1	0	0	0	0	0	0
AU22	7505	QUANTIFERON TB GOLD	0	0	1	1	0	0	0	0	0	0	1	0
AU22	9175	HEPATIC FUNCTION PANEL	2	2	3	4	4	10	4	8	11	8	9	2
AU22	9179	COMPREHENSIVE METABOLIC PANEL	71	77	109	124	107	106	87	92	82	100	78	57
AU22	9180	COMPREHENSIVE METABOLIC PANEL + e-GFR	3	2	2	1	0	1	0	1	0	1	3	0
AU22	9324	RENAL FUNCTION PANEL	0	1	3	0	1	4	3	2	0	1	0	1
AU22	9325	HEPATITIS PANEL, ACUTE	2	1	1	6	4	3	2	2	1	0	0	0
AU22	9329	GENERAL HEALTH PANEL	0	0	2	0	1	1	0	1	0	1	0	0
AU22	9504	SIQ CHEM CL	0	1	0	0	0	0	0	0	0	1	0	0
AU22	9506	SIQ CHEM MISC.	0	0	0	0	0	0	0	1	0	1	0	1
AU22	9516	SIQ SPECCHEM CL	0	0	0	0	0	0	0	1	0	0	0	0
AU22	9525	SIQ DAYCHEM CL	0	0	0	0	0	1	0	0	0	0	0	0
AU22	9533	SIQ COBAS CL	0	1	1	0	0	0	0	0	0	0	0	0
AU22	9703	ADD ON AUSTIN	0	1	0	0	0	0	0	1	2	0	0	0
AU22	9865	REFERRAL ISSUE 1	0	0	0	0	0	0	0	0	1	0	0	0
AU22	9920	REFERRAL IN QUESTION	0	1	1	1	0	0	1	0	1	0	0	1
AU22	9921	REFERRAL IN QUESTION MISSING	0	0	0	0	0	0	0	0	0	0	0	1
AU22	9944	EXTRA LAVENDER	0	0	0	1	1	2	0	1	0	0	0	0
AU22	9950	STAT TRACKING	0	0	0	1	0	0	0	0	0	0	0	0
AU22	9961	TIQ CLINICAL AUSTIN	2	2	2	3	3	1	1	1	3	1	2	0
AU22	9987	 	0	0	0	2	0	0	0	0	0	0	0	0
AU22	9999	NOTE:	16	21	19	26	27	21	17	11	15	11	20	8
AU22	14176	NEUROC BMP + HORMONE PROFILE	0	0	0	0	0	0	0	1	0	0	0	0
AU22	14429	WFP FEMALE FOLLOW-UP WELLNESS PROFILE	0	0	0	0	1	1	0	0	0	0	1	0
AU22	15118	TEXASFIDS IDS INITIAL FEMALE RECIPIENT PROFILE	0	0	0	0	0	0	0	0	0	1	0	0
AU22	16310	NATURBH INITIAL FEMALE PROFILE	0	0	0	0	0	0	0	0	0	3	0	0
AU22	16348	NATURBH WEIGHT LOSS PROFILE + LIPID	0	0	0	0	0	0	0	0	0	1	0	1
AU22	17236	CAPITDA HEPATIC FUNCTION+2AC + CBC PROFILE	0	0	0	0	0	0	1	0	1	0	0	0
AU22	17287	COATBC BUN+CREATININE + LIVER FUNCTION PROFILE	0	0	0	0	0	0	0	0	1	0	0	0
AU22	18263	BIOTE FEMALE NEW PT PRE PELLET PROFILE	0	0	0	0	0	0	1	2	0	1	0	0
AU22	18268	BIOTE MALE POST PELLET PROFILE	0	0	0	0	1	0	0	0	0	0	0	0
AU22	18584	HEARTVM FEMALE PROFILE	0	0	1	5	0	0	0	0	0	0	0	0
AU22	18585	HEARTVM MALE PROFILE	0	0	2	1	1	0	0	0	0	0	0	0
AU22	18607	WFP THYROID PROFILE	0	0	0	0	0	1	0	0	0	0	1	0
AU22	18892	VICTOMFC AMYLASE + LIPASE PROFILE	0	0	0	2	2	0	1	1	1	0	0	0
AU22	18893	VICTOMFC ESTRADIOL + PROGESTERONE PROFILE	0	0	2	1	2	0	0	2	0	0	0	0
AU22	18894	VICTOMFC TSH + FREE T3 +FREE T4 PROFILE	0	0	3	17	11	7	7	9	5	0	0	0
AU22	483400	TESTOSTERONE, TOTAL AND FREE	0	0	0	1	0	0	0	0	0	0	0	0
AU22	856510	CHARGE ONLY MANUAL SED RATE	14	14	17	20	10	14	14	19	7	10	10	9
AU7	115	ELECTROLYTE PANEL	0	1	0	0	0	1	0	0	0	1	0	0
AU7	142	BASIC METABOLIC PANEL	11	5	5	4	3	0	1	2	0	2	0	1
AU7	173	LIPID PANEL	1	2	0	1	0	0	0	0	0	1	1	0
AU7	810	PATIENT RECORDS REQUEST, CURRENT	0	0	0	0	0	0	1	0	0	0	0	0
AU7	817	PATIENT RECORDS REQ, STANDING ORDER	0	1	0	0	0	0	0	0	0	0	0	0
AU7	920	PHLEBOTOMY FEE - SINGLE	49	23	44	37	34	19	17	8	4	18	14	19
AU7	996	STANDING ORDER	3	3	6	3	0	3	2	1	0	0	0	1
AU7	997	 	3	0	0	1	0	1	0	0	1	0	2	0
AU7	998	MULTIPLE ORDERS	1	1	1	0	0	0	0	0	0	0	1	2
AU7	1000	CBC W/AUTO DIFF WITH PLATELETS	32	19	31	22	28	11	10	5	2	12	11	14
AU7	1007	CBC WITH MANUAL DIFFERENTIAL	0	0	1	0	0	1	0	0	0	0	0	0
AU7	1011	CBC WITH ABSOLUTE NEUTROPHIL COUNT	0	0	1	0	0	0	0	0	0	0	0	1
AU7	1014	CBC WITH ABSOLUTE WHITE BLOOD CELLS	0	0	0	0	0	1	0	0	0	0	0	0
AU7	1041	CBC W/O DIFF, WITH PLATELETS	5	5	5	3	3	3	5	0	0	6	2	1
AU7	1045	PLATELET COUNT	0	0	1	0	0	0	0	0	0	0	0	0
AU7	1050	RETICULOCYTE COUNT	1	0	0	0	0	0	0	0	0	0	0	0
AU7	1055	SEDIMENTATION RATE	2	0	1	2	0	0	0	0	0	0	0	0
AU7	1350	SEMEN STUDY	33	43	32	30	40	36	33	24	31	34	34	28
AU7	1352	RETROGRADE EJACULATION SPERM COUNT	0	0	0	0	0	0	0	0	0	0	0	1
AU7	1355	SPERM COUNT	1	4	3	1	3	2	2	1	0	0	1	2
AU7	1385	SPERM EXAM, POST VASECTOMY	14	11	28	21	19	29	23	7	20	28	13	18
AU7	1425	PROTHROMBIN TIME (PT)	7	2	3	3	3	2	1	0	0	2	0	1
AU7	1430	PTT	4	2	2	1	0	0	0	0	0	2	0	0
AU7	1435	D-DIMER	0	0	0	0	0	0	1	0	0	0	0	0
AU7	1465	vWF ANTIGEN	0	0	1	0	0	0	0	0	0	0	0	0
AU7	1500	MANUAL MICROSCOPIC REFLEX	2	1	0	1	1	0	1	0	0	1	1	0
AU7	1501	URINALYSIS W/REFLEX MICRO	2	1	0	1	1	0	0	0	0	1	1	0
AU7	1502	 ICTO REFLEX	0	1	1	0	0	0	0	0	0	0	0	0
AU7	1505	URINALYSIS WITH MICROSCOPIC	0	0	1	1	1	0	0	0	0	0	0	0
AU7	2020	AMMONIA	1	0	0	0	0	0	0	0	0	0	0	0
AU7	2025	AMYLASE	0	0	0	0	2	0	0	0	0	0	1	0
AU7	2090	FERRITIN	0	0	0	0	1	1	1	0	0	0	0	0
AU7	2118	IRON BINDING CAPACITY AND IRON AND % SATURATION	0	1	0	0	0	0	1	0	0	0	0	0
AU7	2124	LIPASE	0	0	1	1	2	0	0	0	0	0	1	0
AU7	2130	MAGNESIUM	0	0	0	0	0	0	0	0	0	1	0	0
AU7	2153	UNSATURATED IBC	0	0	0	0	0	1	0	0	0	0	0	0
AU7	2154	CALC TOTAL IBC	0	0	0	0	0	1	0	0	0	0	0	0
AU7	2204	ALKALINE PHOSPHATASE	0	1	1	0	0	0	0	0	0	0	0	0
AU7	2206	CARBON DIOXIDE	0	1	1	0	0	0	0	0	0	0	0	0
AU7	2208	BUN	0	1	1	0	0	0	0	0	0	0	0	0
AU7	2214	CREATININE	0	1	1	0	0	0	0	0	0	0	0	0
AU7	2215	CHLORIDE	0	1	1	0	0	0	0	0	0	0	0	0
AU7	2218	AST	1	1	1	0	0	0	0	0	0	0	0	0
AU7	2219	ALT	2	1	1	0	0	0	0	0	0	0	0	0
AU7	2222	IRON, SERUM	0	0	0	0	0	0	0	0	0	1	0	0
AU7	2224	LDH	0	1	1	0	0	0	0	0	0	0	0	0
AU7	2228	POTASSIUM	5	1	6	8	4	2	2	2	4	1	2	2
AU7	2231	SODIUM	2	1	1	0	0	0	0	0	0	0	0	0
AU7	2233	URIC ACID	0	0	0	0	0	0	0	0	0	1	0	0
AU7	2625	AFP, TUMOR MARKER	1	0	0	0	0	0	0	0	0	0	0	0
AU7	2645	CEA	0	0	0	0	0	0	0	0	0	1	0	0
AU7	2675	ESTRADIOL	1	0	0	0	1	2	3	0	0	2	0	1
AU7	2708	HEMOGLOBIN A1c	0	1	0	0	0	0	0	0	0	1	1	0
AU7	2713	HCG, QUANTITATIVE	2	1	6	1	1	1	3	0	0	2	0	0
AU7	2714	HCG, QUALITATIVE	2	0	2	0	0	0	0	0	0	0	0	0
AU7	2760	INSULIN	0	0	0	0	0	0	0	0	0	0	1	0
AU7	2790	PROGESTERONE	0	0	0	0	0	0	1	0	0	0	0	0
AU7	2814	INTACT PTH	1	0	0	0	0	0	0	0	0	0	0	0
AU7	2823	FREE T4 (THYROXINE)	1	0	2	0	0	0	0	0	0	0	0	0
AU7	2834	TSH REFLEX TO FREE T4	0	0	0	1	0	0	0	0	0	1	0	0
AU7	2835	TSH	1	1	2	0	1	0	0	0	0	0	0	0
AU7	2840	VITAMIN B-12	0	0	0	1	0	0	0	0	0	0	0	0
AU7	3510	MONONUCLEOSIS SCREEN	0	0	2	0	0	0	0	0	0	0	0	0
AU7	3540	HIV 1/2 4TH GEN, RFLX CONF	0	0	1	0	0	0	0	0	0	1	0	0
AU7	3545	C-REACTIVE PROTEIN	2	1	0	2	0	0	0	0	0	0	0	0
AU7	3550	ANA (ANTI-NUCLEAR AB) WITH REFLEX TITER	2	0	0	0	0	0	0	0	0	0	0	0
AU7	3555	ASO TITER	0	0	2	0	0	1	0	0	0	0	0	0
AU7	3800	BLOOD GROUP (ABO) AND RH TYPE	0	0	0	0	0	0	1	0	0	0	0	0
AU7	4272	TACROLIMUS	0	0	0	0	1	0	0	0	0	0	0	0
AU7	4273	FREE T3	0	0	1	0	0	0	0	0	0	0	0	0
AU7	4550	EPSTEIN BARR PANEL (VCA IgG/IgM, EARLY, EBNA IgG)	0	0	2	0	0	1	0	0	0	0	0	0
AU7	4610	THYROID ANTIBODY GROUP (TPO + TG)	0	0	0	0	1	0	0	0	0	0	0	0
AU7	4936	TRANSFERRIN	0	0	0	0	0	1	0	0	0	0	0	0
AU7	4958	VITAMIN D, 25 OH	0	0	0	1	0	0	0	0	0	1	1	0
AU7	5585	B NATRIURETIC PEPTIDE	1	0	0	1	0	0	0	0	0	0	0	0
AU7	5825	CLOZAPINE	0	1	2	2	0	0	1	2	0	0	0	0
AU7	6007	CULTURE, ROUTINE	0	0	2	0	1	0	0	0	0	0	0	0
AU7	6010	CULTURE, ANAEROBIC	0	0	0	0	1	0	0	0	0	0	0	0
AU7	6013	CULTURE, BLOOD	0	0	1	0	0	0	0	0	0	0	0	0
AU7	6041	UA, MICROSCOPIC, REFLEX TO CULTURE	1	0	0	0	0	0	0	0	0	0	0	0
AU7	6049	CULTURE, URINE	2	1	0	0	2	0	0	0	0	0	0	0
AU7	6051	URINALYSIS (CULTURE IF INDICATED)	0	0	0	0	0	1	1	0	0	0	0	0
AU7	6089	CULTURE, URINE/SENSITIVITY ON ALL	0	0	1	0	0	0	0	0	0	0	0	0
AU7	9179	COMPREHENSIVE METABOLIC PANEL	12	4	9	6	9	0	1	1	0	4	5	3
AU7	9180	COMPREHENSIVE METABOLIC PANEL + e-GFR	1	0	0	0	0	1	0	0	0	0	0	0
AU7	9516	SIQ SPECCHEM CL	1	0	0	0	0	0	0	0	0	0	0	0
AU7	9921	REFERRAL IN QUESTION MISSING	0	0	1	0	0	0	0	0	0	0	0	0
AU7	9999	NOTE:	3	0	2	1	0	3	1	0	1	0	0	1
AU7	11837	COUNTDR CHEMISTRY + CBC + TSH PROFILE	0	0	0	0	0	1	0	0	0	0	0	0
AU7	12392	CAPITPGC FREE T4 + TSH PROFILE	0	0	0	0	0	0	0	0	0	0	1	0
AU7	18607	WFP THYROID PROFILE	0	0	0	0	1	0	0	0	0	0	0	0
AU7	211700	CALC % IRON SAT	0	0	0	0	0	1	0	0	0	0	0	0
AU7	856510	CHARGE ONLY MANUAL SED RATE	1	0	0	1	0	0	0	0	0	0	0	0
BA13	920	PHLEBOTOMY FEE - SINGLE	0	1	0	0	0	0	1	4	0	0	0	0
BA13	4489	REFERRED C-REACTIVE PROTEIN	0	0	0	0	0	0	0	1	0	0	0	0
BA13	4779	REFERRED FREE T4	1	0	0	0	0	0	0	0	0	0	0	0
BA13	4788	REFERRED HEMOGLOBIN A1c	0	0	0	0	0	0	1	0	0	0	0	0
BA13	5032	REFERRED ROUTINE CULTURE	0	0	0	0	0	5	2	4	15	0	0	0
BA13	5064	REFERRED PROTIME	0	0	0	0	0	0	0	2	0	0	0	0
BA13	5091	REFERRED TSH	1	0	0	0	0	0	0	0	0	0	0	0
BA13	5119	REFERRED HEMATOCRIT	0	0	0	0	0	0	0	16	0	0	0	0
BA13	5125	REFERRED CBC	1	0	0	0	0	42	2	55	17	1	0	0
BA13	5127	REFERRED SEDIMENTATION RATE	0	0	0	0	0	0	0	1	4	0	0	0
BA13	5130	REFERRED URINALYSIS	0	0	0	0	0	5	3	4	4	2	0	0
BA13	5138	REFERRED BASIC METABOLIC PROFILE	0	0	0	0	0	0	0	1	0	0	0	0
BA13	5154	REFERRED LIPID PROFILE	1	0	0	0	0	0	0	0	0	0	0	0
BA13	5164	REFERRED CPK	0	0	0	0	0	0	0	1	0	0	0	0
BA13	5165	REFERRED COMPREHENSIVE METABOLIC PROFILE	1	0	0	0	0	2	0	4	0	0	0	0
BA13	5173	REFERRED LITHIUM	0	1	0	0	0	0	0	0	0	0	0	0
BA13	5192	REFERRED BLOOD TYPE AND RH	0	0	0	0	0	0	0	16	0	0	0	0
BA13	5196	REFERRED URINE CULTURE	0	0	0	0	0	1	3	1	3	3	0	0
BA13	5814	REFERRED T3 UPTAKE	1	0	0	0	0	0	0	0	0	0	0	0
BA13	871861	CHARGE REFERRAL SENSITIVITY	0	0	0	0	0	0	0	1	2	1	0	0
BA13	871862	CHARGE 2 REFERRAL SENSITIVITIES	0	0	0	0	0	0	0	0	2	0	0	0
BA14	920	PHLEBOTOMY FEE - SINGLE	11	3	7	1	5	3	15	6	3	6	5	1
BA14	997	 	0	0	0	0	0	0	1	0	0	0	0	0
BA14	4489	REFERRED C-REACTIVE PROTEIN	2	0	1	0	1	0	0	0	0	0	0	0
BA14	4768	REFERRED PSA, TOTAL	0	0	0	0	0	0	1	0	0	0	0	0
BA14	4788	REFERRED HEMOGLOBIN A1c	0	1	0	0	0	0	7	1	0	0	0	0
BA14	5032	REFERRED ROUTINE CULTURE	4	0	2	0	0	3	0	0	1	0	0	0
BA14	5050	REFERRED HCG, QUANTITATIVE	1	0	0	0	0	1	1	1	1	7	3	0
BA14	5064	REFERRED PROTIME	8	0	8	0	2	3	1	3	2	0	2	0
BA14	5066	REFERRED PTT	3	1	7	0	1	4	1	3	1	0	1	0
BA14	5067	REFERRED LIPASE	1	1	0	0	0	1	0	0	0	0	0	1
BA14	5091	REFERRED TSH	0	0	0	0	0	0	11	1	0	0	0	1
BA14	5117	REFERRED HEMOGLOBIN	0	0	0	0	0	0	0	0	0	0	1	0
BA14	5119	REFERRED HEMATOCRIT	0	0	0	0	0	6	0	1	12	0	4	0
BA14	5124	REFERRED LIVER PROFILE	0	1	0	0	0	1	0	1	0	0	0	0
BA14	5125	REFERRED CBC	61	83	62	53	51	68	39	62	44	47	76	42
BA14	5126	REFERRED RETICULOCYTE COUNT	1	0	1	1	0	1	0	0	0	0	0	0
BA14	5127	REFERRED SEDIMENTATION RATE	5	3	2	0	1	0	3	3	0	2	3	1
BA14	5130	REFERRED URINALYSIS	8	3	3	14	3	3	6	5	6	16	15	8
BA14	5134	REFERRED SERUM PREGNANCY	0	0	0	0	0	0	1	0	0	0	0	0
BA14	5135	REFERRED BNP	0	0	0	0	0	0	0	1	0	0	0	0
BA14	5138	REFERRED BASIC METABOLIC PROFILE	3	1	4	0	4	2	2	4	2	0	1	1
BA14	5140	REFERRED GLUCOSE	0	1	0	0	0	0	1	2	0	0	4	0
BA14	5142	REFERRED CREATININE	0	0	0	0	0	0	0	1	0	0	0	0
BA14	5143	REFERRED URIC ACID	1	0	0	0	0	0	0	0	0	0	0	0
BA14	5144	REFERRED SODIUM	0	0	0	0	0	0	0	1	0	0	0	0
BA14	5145	REFERRED POTASSIUM	0	0	0	0	0	0	0	2	0	0	0	0
BA14	5152	REFERRED TRIGLYCERIDES	0	0	0	0	0	1	2	0	0	0	0	0
BA14	5154	REFERRED LIPID PROFILE	2	1	0	0	1	0	16	1	0	0	5	0
